id,lat,lon,area,regions1,regions2
1,40.61,19.66,6708,3,3
2,48.4,15.44,94762,2,4
3,47.29,9.68,4626,4,4
4,47.02,9.92,145,4,4
5,47.04,9.95,39.3,4,4
6,47.11,10.07,101,4,4
7,47.03,10.05,516,4,4
8,47.1,9.98,172,4,4
9,47.09,9.64,72.2,4,4
10,47.17,9.78,95.5,4,4
11,47.29,9.85,33.4,4,4
12,47.34,9.77,39.1,4,4
13,47.44,9.8,6231,4,4
14,47.26,9.96,41.7,4,4
15,47.23,9.78,148,4,4
16,47.32,10.02,231,4,4
17,47.36,10.19,31.1,4,4
18,47.41,9.83,112,4,4
19,47.5,9.8,90.1,4,4
20,47.46,9.9,825,4,4
21,47.5,9.69,7.2,4,4
22,47.54,9.69,103,4,4
23,47.27,10.22,84.3,4,4
24,47.44,9.7,195,4,4
25,47.45,9.93,17.7,4,4
26,47.26,9.84,2.3,4,4
27,47.3,10.04,14.1,4,4
28,47.34,9.64,25.2,4,4
29,47.3,9.87,8.2,4,4
30,47.48,9.86,13.7,4,4
31,47.24,10.26,248,4,4
32,47.44,10.66,64,4,4
33,47.5,10.63,1029,4,4
34,47.39,11.17,204,4,4
35,47.62,10.83,197,4,4
36,47.47,10.83,88.4,4,4
37,46.87,10.54,107,4,4
38,47.04,10.64,2130,4,4
39,47.11,10.76,3544,4,4
40,47.23,10.82,28,4,4
41,47.25,10.61,3910,4,4
42,46.83,10.82,98.1,4,4
43,46.88,11.01,72.5,4,4
44,46.98,11.05,517,4,4
45,47.18,10.88,619,4,4
46,47.14,10.83,788,4,4
47,47.23,10.75,5075,4,4
48,47.27,11.41,5810,4,4
49,47.08,11.46,58.3,4,4
50,47.07,11.41,108,4,4
51,47.17,11.56,111,4,4
52,47.16,11.42,340,4,4
53,47.18,11.42,61.5,4,4
54,47.32,11.22,853,4,4
55,47.25,11.5,73.9,4,4
56,47.36,11.52,72.8,4,4
57,47.31,11.92,7199,4,4
58,47.16,11.87,606,4,4
59,47.38,11.74,1079,4,4
60,47.38,11.79,8444,4,4
61,47.36,11.83,270,4,4
62,47.68,12.39,3.9,4,4
63,47.46,12.17,135,4,4
64,47.51,12.17,323,4,4
65,47.51,12.05,94,4,4
66,47.43,12.25,153,4,4
67,47.52,12.21,147,4,4
68,47.6,12.33,330,4,4
69,47.55,12.57,166,4,4
70,47.66,12.23,830,4,4
71,47.04,11.75,24.2,4,4
72,47.09,11.3,52,4,4
73,47.2,11.12,64.4,4,4
74,47.29,11.08,9.2,4,4
75,47.36,10.76,78.3,4,4
76,47.09,10.88,191,4,4
77,47.36,11.03,45,4,4
78,47.58,12.27,20.9,4,4
79,47.35,11.2,65.1,4,4
80,47.5,12.36,82.1,4,4
81,47.45,10.51,66.4,4,4
82,47.55,12.19,6.2,4,4
83,47.03,11.54,22.2,4,4
84,47.04,11.26,128,4,4
85,47.62,12.46,699,4,4
86,47.17,12.28,80.7,4,4
87,47.26,12.4,40.5,4,4
88,47.32,12.18,32.3,4,4
89,47.26,12.56,587,4,4
90,47.2,12.58,74.5,4,4
91,47.36,12.99,1183,4,4
92,47.11,12.91,60.7,4,4
93,47.32,13.03,53.4,4,4
94,47.16,13.32,145,4,4
95,47.38,13.28,91.4,4,4
96,47.46,13.12,156,4,4
97,47.66,13.24,170,4,4
98,47.64,13.26,391,4,4
99,47.53,13.05,65.5,4,4
100,47.6,13.21,3618,4,4
101,47.67,13.18,51.2,4,4
102,47.74,13.3,181,4,4
103,47.74,12.96,4378,4,4
104,47.84,12.96,26.5,4,4
105,47.78,12.95,29.7,4,4
106,47.8,13.06,158,2,4
107,47.45,12.72,118,4,4
108,47.53,12.75,113,4,4
109,47.46,12.78,570,4,4
110,47.6,12.66,108,4,4
111,47.9,13.06,88.1,2,4
112,47.82,13.09,428,4,4
113,47.9,13.01,1137,2,4
114,47.26,12.42,45.3,4,4
115,48.04,12.95,64.8,2,4
116,47.93,13.37,40.6,2,4
117,47.9,13.33,34.9,4,4
118,47.44,13.33,89.6,4,4
119,47.4,13.61,135,4,4
120,47.43,13.39,86.5,4,4
121,47.19,13.5,75.7,4,4
122,47.13,13.82,290,4,4
123,47.04,13.69,102,4,4
124,47.14,13.75,77.1,4,4
125,47.22,13.88,379,4,4
126,47.12,13.65,366,4,4
127,47.07,13.75,84.9,4,4
128,48.02,12.86,23.4,2,4
129,47.96,13,40.5,2,4
130,47.03,12.41,19.2,4,4
131,47.33,13.2,2162,4,4
132,47.34,13.55,57.2,4,4
133,47.55,13.44,26.9,4,4
134,47.55,13.08,16.8,4,4
135,47.57,13.13,3.1,4,4
136,47.07,13.82,956,4,4
137,47.2,12.72,11.4,4,4
138,47.15,13.81,48.4,4,4
139,47.22,13.71,70.2,4,4
140,47.35,12.8,15.5,4,4
141,47.85,13.31,16.9,2,4
142,47.55,13.06,2958,4,4
143,47.84,13.32,119,2,4
144,48.05,12.84,21.5,2,4
145,48.08,12.81,69.9,2,4
146,48.06,13.29,66.6,2,4
147,48.03,13.17,14.1,2,4
148,48.06,13.04,136,2,4
149,48.11,13.28,37.5,2,4
150,48.01,13.16,82.2,2,4
151,48.25,13.21,443,2,4
152,48.2,13.43,24,2,4
153,48.09,13.49,30.4,2,4
154,48.3,13.25,74.6,2,4
155,48.23,13.24,314,2,4
156,48.17,13.38,13.2,2,4
157,48.21,13.43,69.3,2,4
158,48.3,13.52,166,2,4
159,48.3,13.5,68.6,2,4
160,48.35,13.67,60,2,4
161,48.34,13.72,64.1,2,4
162,48.49,13.49,81.3,2,4
163,48.4,13.57,10.6,2,4
164,48.33,13.6,305,2,4
165,48.37,13.42,338,2,4
166,48.53,13.64,133,2,4
167,48.48,13.96,198,2,4
168,48.61,13.84,126,2,5
169,48.68,13.91,17.1,2,5
170,48.53,14.03,259,2,4
171,48.53,14.13,138,2,4
172,48.49,14.06,454,2,4
173,48.31,13.89,69,2,4
174,48.16,13.88,66.8,2,4
175,48.22,13.96,116,2,4
176,48.28,13.85,54,2,4
177,48.17,13.79,19.8,2,4
178,48.25,13.79,136,2,4
179,48.29,14.08,185,2,4
180,48.33,14.17,374,2,4
181,48.31,13.9,313,2,4
182,48.42,13.98,225,2,4
183,48.36,14.32,27.9,2,4
184,47.56,13.53,320,4,4
185,47.48,13.5,31.3,4,4
186,47.59,13.71,619,4,4
187,47.64,13.77,723,4,4
188,47.72,13.6,125,4,4
189,47.79,13.59,250,4,4
190,47.71,13.57,1239,4,4
191,47.89,13.6,40,4,4
192,47.97,13.78,1474,2,4
193,47.85,13.5,37,4,4
194,47.83,13.16,108,4,4
195,47.77,13.73,31.2,4,4
196,47.87,13.62,467,2,4
197,47.99,13.41,99.7,2,4
198,48.12,13.7,58.1,2,4
199,47.96,13.5,334,2,4
200,47.93,13.46,51.4,2,4
201,48.07,13.8,446,2,4
202,48.07,13.65,959,2,4
203,48,13.8,81,2,4
204,48.09,13.7,22.3,2,4
205,48.06,13.94,1238,2,4
206,48.18,13.83,2767,2,4
207,48.04,13.96,45.8,2,4
208,47.93,14.04,326,4,4
209,48.03,13.81,444,2,4
210,48.21,14.08,68.3,2,4
211,48.16,13.85,57.4,2,4
212,47.87,14.36,20.9,4,4
213,48.14,14.21,22.4,2,4
214,47.89,14.26,14.5,4,4
215,47.98,14.26,40.5,4,4
